"id","group.year","social.group","year","age","percofsex.dominated","hrs.focalfollowed","partner","hrs.partnerfollowed","r","kinship","grooming_duration","grooming_over_observation","grooming_over_group","focal.total.scan","proximity_scans","proximity_over_observation","proximity_over_group","DSI","focal.connections","focal.kin.available","order.of.partner","top3","top3.kin","top3.nonkin","top3.total"
"43F","F2012","F","2012",16,100,3.5,"5C0",3.66666666666667,0.5,"kin",163,0.00631782945736434,9.40529804682678,"62",7,0.0546875,31.6114103527073,20.5083541997671,8,6,1,TRUE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"43J",3.66666666666667,0.0625,"non-kin",95,0.00368217054263566,5.48161542606469,"62",2,0.0161290322580645,9.32318093351737,7.40239817979103,8,6,4,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"4C1",3.16666666666667,0.03125,"non-kin",0,0,0,"62",1,0.00869565217391304,5.02641059024415,2.51320529512207,8,6,7,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"82A",3.83333333333333,0,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"6C0",3.83333333333333,0,"non-kin",428,0.0162121212121212,24.1348445696877,"62",NA,0,0,12.0674222848438,8,6,3,TRUE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"98T",3.66666666666667,0.0625,"non-kin",190,0.00736434108527132,10.9632308521294,"62",NA,0,0,5.48161542606469,8,6,5,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"17C",3.66666666666667,0.0625,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"04N",3.66666666666667,0.03125,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"60P",3.66666666666667,0.03125,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"62H",3.5,0.0625,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"92D",3.5,0,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"0A4",3.66666666666667,0.03125,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"K00",3.5,0,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"59A",3.33333333333333,0,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"64P",3.5,0,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"82L",4,0,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"1C0",3.16666666666667,0,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"32S",3.66666666666667,0,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"50S",3.5,0,"non-kin",103,0.00408730158730159,6.08473050677707,"62",NA,0,0,3.04236525338853,8,6,6,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"O52",3.5,0.125,"kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"7C0",3.33333333333333,0.0625,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"88I",3.66666666666667,0.03125,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"56E",3.66666666666667,0,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"73B",3.33333333333333,0,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"44J",3.66666666666667,0.09375,"non-kin",596,0.0231007751937984,34.3899241466795,"62",NA,0,0,17.1949620733398,8,6,2,TRUE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"2A8",3.5,0.046875,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"50I",3.66666666666667,0.0625,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"79Z",3.66666666666667,0.125,"kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"40L",3.5,0.0625,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"2A7",3.66666666666667,0.09375,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"90D",4,0,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"00O",3.5,0,"non-kin",0,0,0,"62",NA,0,0,0,8,6,NA,FALSE,1,2,3
"43F","F2012","F","2012",16,100,3.5,"61J",3.5,0.09375,"non-kin",13,0.000515873015873016,0.767975695030116,"62",NA,0,0,0.383987847515058,8,6,8,FALSE,1,2,3
