"id","group.year","social.group","year","age","percofsex.dominated","hrs.focalfollowed","partner","hrs.partnerfollowed","r","kinship","grooming_duration","grooming_over_observation","grooming_over_group","focal.total.scan","proximity_scans","proximity_over_observation","proximity_over_group","DSI","focal.connections","focal.kin.available","order.of.partner","top3","top3.kin","top3.nonkin","top3.total"
"69O","R2016","R","2016",15,100,4.83333333333333,"2C8",4.66666666666667,0.5,"kin",598,0.0174853801169591,35.7823874822897,"87",16,0.0935672514619883,39.8140780034828,37.7982327428863,11,8,1,TRUE,3,0,3
"69O","R2016","R","2016",15,100,4.83333333333333,"2F0",5,0.5,"kin",259,0.00731638418079096,14.9723764639488,"87",19,0.107344632768362,45.6765322857753,30.3244543748621,11,8,2,TRUE,3,0,3
"69O","R2016","R","2016",15,100,4.83333333333333,"4H0",4.66666666666667,0.125,"kin",0,0,0,"87",10,0.0584795321637427,24.8837987521768,12.4418993760884,11,8,3,TRUE,3,0,3
"69O","R2016","R","2016",15,100,4.83333333333333,"4B2",4.83333333333333,0.125,"kin",0,0,0,"87",1,0.00578034682080925,2.45961247781632,1.22980623890816,11,8,7,FALSE,3,0,3
"69O","R2016","R","2016",15,100,4.83333333333333,"9J5",4.83333333333333,0.0625,"non-kin",0,0,0,"87",1,0.00578034682080925,2.45961247781632,1.22980623890816,11,8,7,FALSE,3,0,3
"69O","R2016","R","2016",15,100,4.83333333333333,"14Z",4.83333333333333,0.125,"kin",0,0,0,"87",1,0.00578034682080925,2.45961247781632,1.22980623890816,11,8,7,FALSE,3,0,3
"69O","R2016","R","2016",15,100,4.83333333333333,"8F0",4.83333333333333,0.125,"kin",0,0,0,"87",4,0.0229885057471264,9.78190709568328,4.89095354784164,11,8,5,FALSE,3,0,3
"69O","R2016","R","2016",15,100,4.83333333333333,"1E7",4.66666666666667,0.03125,"non-kin",0,0,0,"87",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2016","R","2016",15,100,4.83333333333333,"4I1",5,0.03125,"non-kin",0,0,0,"87",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2016","R","2016",15,100,4.83333333333333,"X91",4.33333333333333,0.25,"kin",0,0,0,"87",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2016","R","2016",15,100,4.83333333333333,"3B1",4.83333333333333,0.125,"kin",0,0,0,"87",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2016","R","2016",15,100,4.83333333333333,"2J5",5.16666666666667,0.0625,"non-kin",0,0,0,"87",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2016","R","2016",15,100,4.83333333333333,"54N",5,0,"non-kin",0,0,0,"87",NA,0,0,0,11,8,NA,FALSE,3,0,3
"69O","R2016","R","2016",15,100,4.83333333333333,"1E6",4.83333333333333,0,"non-kin",0,0,0,"87",NA,0,0,0,11,8,NA,FALSE,3,0,3
