"id","group.year","social.group","year","age","percofsex.dominated","hrs.focalfollowed","partner","hrs.partnerfollowed","r","kinship","grooming_duration","grooming_over_observation","grooming_over_group","focal.total.scan","proximity_scans","proximity_over_observation","proximity_over_group","DSI","focal.connections","focal.kin.available","order.of.partner","top3","top3.kin","top3.nonkin","top3.total"
"14E","V2016","V","2016",22,100,6,"2E4",6.33333333333333,0.125,"kin",0,0,0,"108",1,0.0045045045045045,4.29986148084022,2.14993074042011,5,9,3,TRUE,2,1,3
"14E","V2016","V","2016",22,100,6,"1K1",6.16666666666667,0.125,"kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"0F0",6.16666666666667,0.125,"kin",229,0.0052283105022831,9.19315468808027,"108",NA,0,0,4.59657734404013,5,9,2,TRUE,2,1,3
"14E","V2016","V","2016",22,100,6,"5C6",6.33333333333333,0.125,"kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"9C1",6.16666666666667,0.0625,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"00V",6.16666666666667,0.03125,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"2G4",6.16666666666667,0.265625,"kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"53Z",6.33333333333333,0.03125,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"1G1",6.16666666666667,0.015625,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"15E",6.16666666666667,0.0625,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"0K0",6,0.03125,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"78I",6.33333333333333,0.03125,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"5E8",6,0.015625,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"52Z",6.16666666666667,0.015625,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"2I3",6.16666666666667,0.0078125,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"1G6",6.16666666666667,0.2578125,"kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"7C4",6.16666666666667,0.03125,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"13H",6.16666666666667,0.0625,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"1I7",6.16666666666667,0.03125,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"9E8",6.16666666666667,0.0625,"non-kin",104,0.00237442922374429,4.17505715091855,"108",NA,0,0,2.08752857545928,5,9,4,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"93T",6.16666666666667,0.0625,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"45Z",6.5,0.125,"kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"90T",6.16666666666667,0,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"4J4",6.16666666666667,0,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"2G2",6.16666666666667,0,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"1G0",6.16666666666667,0,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"47Z",6.16666666666667,0,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"2G3",6.16666666666667,0,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"4C9",6.16666666666667,0.125,"kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
"14E","V2016","V","2016",22,100,6,"1I5",6.16666666666667,0,"non-kin",0,0,0,"108",NA,0,0,0,5,9,NA,FALSE,2,1,3
